validator_pubkey,staker_lamports_diff,validator_lamports_diff
1Dadio3JRvpEjY6iSmXmhbGy9RiU8Nxh2GmoVbNusbE,190835584,0
1234LB7uvDC23rdCQoK8C3jNwnovUNyeKxz8wC3dghJ5,837035768,93003974
5bZfZn16KfmQpmjQeVGrbo5t17aUesLtNMmNNM78FzC,1093389894,95077382
63CeFmqGDCSUUbF2EZ6UfMwoCzrZYJptAvj143qVeh1,5134927,508357704
CHiNU8QWVW77kGS3U9MbYLCYkWXGTfPz2iRGoy6r6CA,2109369,87890
CiTYUYPAPHdcri5yEfsmqVcs54J6j8X1QaiFLgYqMVe,563301053,48982700
DTwEEF6VSrmTBYkDcj3BKAc52qhvP8CEQUEAMMT1cG3,463572930,51508103
EdGevanAjM8a6Gg9KxBVrmVdZAUGAZ9xaVd7t9R4H2x,1181118484,0
EsELtZoep4TYcugKyMnB4ZWZYxn99V5Vb1TwexDzFey,244784386,12883388
G2Qvt31y3wQDqLvnZTf1Lj91JrZ8rKUhtCP5kVJxXS9,656664523,72962724
JeDosjMNLfyjzj8Zpu27U6s2vbidbKZj4N3in2KRECB,8821757,0
JokeruQoFrVevoPR5QBRPGncPQbtrpq3PJEcY22JefC,190539075,5892961
KXMGa7fRW78c6VVND6YwPbR9sEu8V3q9QL3ctLDioAT,1101007,95739
LodezVTbz3v5GK6oULfWNFfcs7D4rtMZQkmRjnh65gq,82530944,7176603
Luck3DN3HhkV6oc7rPQ1hYGgU3b5AhdKW9o1ob6AyU9,2554214309,222105592
LunaFpQkZsZVJL2P2BUqNDJqyVYqrw9buQnjQtMLXdK,409286621,45476291
MNDE6ueF5uMvyk3ohq7wWZ8H749pbpj1yHj2MvMRCJM,1135153112,0
NDf9Pv6TAxTDPR6ud3djsd2Ux1WS2m2YfTw4qEmSnQH,1729074638,91003928
NM7f9N6qGAW6bfGYPxp1ZU5ycD1SWqPvFSx6VyeHNvK,819821,81162233
NikGQUQqSLtsdHGGx7mQopojZcgd3N9uWFaZQ1r5EXn,1633067736,0
NipDoZC37aMQvv2fFq2moUyyiApQxszc7X4mvWHP2pZ,700149767,60882588
NoRDTy8jpkpjPR7yxahVdoEUPngbojPhFU5jb8TtY4m,738950682,38892141
P4f3F3VfMhKvpGQXg2MuvLfWmZui41gvcH9XKtYDiFX,993649757,86404326
Pond1QyT1sQtiru3fi9G5LGaLRGeUpJKR1a2gdbq2u4,207532908,3943125241
QUANT7qKUEW4PS4eP9jq4K35rDHpgWkWcgjbW1CwnGJ,3764883197,0
QXmsTYFK7YT2BpP2AnvXwuRpfwmsJZpovLcUqdSjoK1,172155984,19128442
R1vAoSPFQdCc6wsAEMtxWXjqptSeN1YUiq2Zni1of21,105145985,9143129
RAREcr3SmDePhWD4Je1qEh1UMCQD5MFaDHF7UTzezQh,3077351,267595
RBFvvcGPBpgkBYmJGsphoDQJD8sszSuorM7TorWm12Y,4112263112,357588096
Rash24BXgUyy65JJ5KBzpYLrj3pyCqEMEixLVimTcDp,1075332382,93507163
SUN1nYpPJVjd3gKnDACdaUVL53LJaXR9u8e9i1jkZ3a,4426345,491816
SmithX2hngQMZXVN36C6TsyjthTU3YnsALAs1MaDghV,428378759,3855408826
SwMV2YNK7ahUx5LMDqLhMBFC1QfBAkxUxihr7roLjVT,221338829,6845530
